EmployeeID,FirstName,LastName,Department,Salary
1,Adam,Kowal,IT,5000
2,Beata,Wiśniewska,HR,4500
3,Carlos,Ruiz,IT,5200
4,Diana,Nowicka,Sales,4000
5,Eli,Smith,Sales,4200
6,Fabian,Król,IT,5100
7,Gosia,Kaczmarek,HR,4300
8,Hector,Lopez,IT,5300
9,Iwona,Jankowska,Sales,4100
10,Jakub,Mazurek,HR,4400
11,Karolina,Zielińska,IT,5000
12,Luis,Garcia,Sales,4500
13,Marta,Nowak,HR,4300
14,Nick,Brown,IT,5200
15,Ola,Kowalczyk,Sales,4000
16,Paweł,Wiśniewski,IT,5100
17,Quinn,Walker,HR,4300
18,Rafał,Kaminski,IT,5000
19,Sara,Lopez,Sales,4200
20,Tomasz,Kaczmarek,HR,4400
21,Urszula,Kwiatkowska,IT,5000
22,Victor,Martinez,Sales,4500
23,Wojciech,Nowicki,HR,4300
24,Xavier,Clark,IT,5200
25,Yasmin,Conti,Sales,4000
26,Zbigniew,Grabowski,IT,5100
27,Alicja,Lewandowska,HR,4300
28,Brandon,Harris,IT,5000
29,Claudia,Ferrari,Sales,4200
30,David,Robinson,HR,4400
31,Eliza,Kowalska,IT,5000
32,Felipe,Ricardo,Sales,4500
33,Gabriela,Bianchi,HR,4300
34,Henry,Adams,IT,5200
35,Iza,Nowak,Sales,4000
36,Jan,Schmidt,IT,5100
37,Kinga,Müller,HR,4300
38,Liam,Johnson,IT,5000
39,Maria,Hernandez,Sales,4200
40,Nina,Wagner,HR,4400
41,Oskar,Nowak,IT,5000
42,Patricia,Garcia,Sales,4500
43,Robert,King,HR,4300
44,Sylwia,Kaczmarek,IT,5200
45,Thomas,Walker,Sales,4000
46,Ulla,Schneider,IT,5100
47,Victor,Lee,HR,4300
48,Wiktor,Kowalczyk,IT,5000
49,Yvonne,Martinez,Sales,4200
50,Zofia,Kwiatkowska,HR,4400
